Public Key gen UE(us),Shared Key gen UE(us),Total
120.222,264.13,384.352
121.0189999,255.555,376.5739999
119.963,255.481,375.4439999
120.2220001,255.1299999,375.352
119.889,255.537,375.426
120.2220001,255.759,375.981
120.352,255.574,375.9259999
119.963,255.259,375.222
120.2779999,255.574,375.8519999
119.797,255.4070001,375.2040001
119.981,256.4810001,376.4620001
130.204,255.8509999,386.0549999
120.7590001,255.426,376.1850001
119.981,255.37,375.351
119.982,255.481,375.463
119.6669999,255.111,374.7779999
127.259,259.259,386.518
119.63,255.425,375.0549999
164.7399999,263.908,428.6479999
133.871,256.371,390.242
120.259,274.407,394.666
122.538,256.0189999,378.557
120.445,255.8149999,376.2599999
119.759,255.5919999,375.3509999
119.777,255.8150001,375.5920001
119.2960001,255.4629999,374.759
119.481,255.667,375.148
119.445,255.537,374.982
119.056,255.6659999,374.7219999
119.1480001,255.834,374.982
119.703,255.778,375.481
131.3140001,255.852,387.1660001
120.4070001,255.796,376.2030001
119.741,255.5,375.241
119.8149999,255.63,375.4449999
119.371,255.649,375.02
119.9630001,255.685,375.648
119.926,255.629,375.555
120.0739999,255.926,376
119.6669999,255.6110001,375.278
119.778,255.759,375.537
119.463,264.074,383.5370001
124.278,255.574,379.852
120.186,255.556,375.742
119.4810001,255.778,375.2590001
119.593,255.722,375.315
119.834,255.8699999,375.7039999
119.7590001,255.926,375.6850001
119.7409999,255.778,375.5189999
119.2220001,255.778,375.0000001
119.5,255.722,375.222
119.444,293.3139999,412.7579999
123.889,256.2220001,380.111
120.333,262.463,382.7960001
119.9630001,255.981,375.9440001
119.6669999,255.648,375.3149999
119.833,255.8890001,375.7220001
119.297,255.3339999,374.6309999
119.166,255.555,374.721
119.4070001,255.3710001,374.7780002
119.296,255.648,374.944
119.5,255.389,374.889
129.7590001,255.759,385.518
119.9259999,255.4629999,375.3889998
120.037,255.389,375.426
119.185,255.556,374.741
119.2779999,255.537,374.815
119.907,255.6110001,375.5180001
119.5,255.389,374.889
119.537,255.63,375.167
119.445,255.408,374.853
119.7399999,255.352,375.0919999
120.0739999,264.0370001,384.111
121.167,255.963,377.1299999
119.259,255.556,374.815
119.889,255.592,375.481
119.537,255.6110001,375.1480001
119.555,255.3520001,374.907
119.3329999,255.444,374.7769999
119.3339999,255.518,374.8519999
119.388,255.3889999,374.7769999
119.518,255.5,375.018
119.5560001,285.87,405.426
122.63,255.981,378.611
120.112,256.222,376.334
120.018,255.4820001,375.5
119.555,255.6659999,375.2209999
119.2780001,255.425,374.703
119.537,255.7040001,375.2410001
119.4260001,255.685,375.111
119.315,255.426,374.741
119.444,258.519,377.963
119.907,255.297,375.204
138.13,256.222,394.3519999
121.018,255.629,376.6469999
120.3520001,255.555,375.907
119.759,255.574,375.333
119.8709999,255.667,375.538
119.852,255.4810001,375.3330001
119.981,255.704,375.685
119.556,255.7409999,375.2969999
119.8890001,255.778,375.6670001
119.9630001,255.6110001,375.5740001
119.703,264.2969999,383.9999999
121.352,256.1479999,377.4999999
119.8150001,255.555,375.37
119.8709999,255.519,375.3899999
119.556,255.667,375.223
119.519,255.6110001,375.1300001
119.555,255.574,375.129
119.556,255.518,375.074
119.871,255.5369999,375.408
119.297,255.629,374.9259999
119.907,286.87,406.777
123.4260001,256.204,379.6300001
119.833,255.5919999,375.4249999
119.889,255.741,375.63
120.2029999,255.6109999,375.8139999
119.9450001,255.704,375.649
120.148,255.371,375.5189999
119.722,255.463,375.1850001
119.926,255.463,375.3890001
119.871,255.519,375.39
119.3889999,255.352,374.7409999
164.8699999,257.259,422.129
123.408,255.8890001,379.2970001
120.593,255.648,376.241
120.2780001,255.463,375.7410001
119.9439999,255.908,375.8519999
177.8520001,257.778,435.6300001
123.444,255.9620001,379.4060001
119.6859999,255.3520001,375.038
119.704,255.426,375.13
119.833,255.315,375.148
138.6859999,255.7590001,394.445
121.333,255.333,376.6660001
120.2030001,255.481,375.684
119.704,255.481,375.1849999
119.8340001,255.666,375.5000001
119.6850001,255.4070001,375.0920001
119.63,255.796,375.426
119.2780001,255.315,374.5930001
120.2039999,255.6859999,375.8899999
119.7040001,255.333,375.0370001
120.111,297.982,418.093
127.6850001,256.6110001,384.2960001
121.4070001,255.8140001,377.2210001
120.037,256.13,376.167
120.018,256.13,376.148
120.259,255.4079999,375.667
