Public Key gen UE(us),Shared Key gen UE(us),Total
61.29200119,253.148999,314.4410002
55.27699977,146.4650013,201.7420011
50.00500096,143.2749996,193.2800005
48.09299935,143.2549998,191.3479991
47.25500003,140.2819998,187.5369999
78.51800001,121.2460011,199.7640011
37.84199907,111.3790004,149.2209994
36.40399882,110.8759989,147.2799977
39.84000068,114.597,154.4370007
39.1199992,113.9840006,153.1039998
39.65500036,113.8909993,153.5459996
39.26000136,113.7209983,152.9809997
35.67099884,109.6700016,145.3410005
35.18900121,109.9659985,145.1549997
35.8340003,109.9239998,145.7580001
35.83800026,110.08,145.9180003
35.8289999,109.7959994,145.6249993
35.69299952,109.3169994,145.009999
36.12,109.8350003,145.9550003
35.89799962,109.6260003,145.5239999
35.90800043,109.6770011,145.5850015
35.49999929,109.4130002,144.9129995
35.90800043,109.6359993,145.5439997
35.56699994,109.6760006,145.2430006
35.66499981,109.4719992,145.136999
35.30299909,109.4630006,144.7659997
35.6670007,109.4769996,145.1440003
35.46999869,113.4180002,148.8879989
35.84899969,109.7990007,145.6480004
35.42400009,109.2399998,144.6639999
35.50700058,109.3829997,144.8900002
35.92400026,140.1589998,176.083
45.0890002,130.1899993,175.2789994
35.36199984,108.8919998,144.2539997
35.03199878,117.7480008,152.7799996
46.68400106,111.2449991,157.9290001
36.6889999,119.4099987,156.0989986
45.74400009,118.7680009,164.512001
58.8089988,129.4949998,188.3039986
55.68000051,125.3320006,181.0120011
51.89799958,121.4950007,173.3930003
47.68500003,122.4280004,170.1130004
45.81700159,122.7100001,168.5270017
46.43099965,120.0389997,166.4699994
59.26899939,115.5270002,174.7959996
46.819001,117.4720001,164.2910011
46.69599912,118.1879998,164.8839989
44.84399869,116.8750005,161.7189992
45.4150013,144.8450002,190.2600015
40.57099977,120.7860005,161.3570003
49.66899905,127.487001,177.1560001
40.73399941,117.470001,158.2040004
41.68799933,133.2390002,174.9269995
49.90300113,144.7390005,194.6420016
72.00800064,145.2910001,217.2990007
49.51899973,134.0490016,183.5680014
36.808,109.5520001,146.3600001
35.50800102,108.9450016,144.4530026
36.12,110.1430007,146.2630007
37.72699893,110.863999,148.5909979
73.24199942,117.5739999,190.8159993
48.2710002,142.371,190.6420002
45.76500032,144.1139993,189.8789997
48.96999963,142.7219995,191.6919991
45.77599975,139.2579998,185.0339995
46.67100075,141.0700006,187.7410014
46.63899927,140.0849997,186.7239989
45.12800115,138.1940001,183.3220012
45.51100028,137.8840007,183.3950009
46.65600136,138.6629992,185.3190006
46.26900045,137.957999,184.2269994
45.17399975,139.3469993,184.520999
45.7419992,140.6320007,186.3739999
46.86300053,137.5410011,184.4040016
45.04800017,137.7429999,182.791
45.05499965,147.1100004,192.165
48.26699842,139.4989995,187.7659979
45.83099872,140.3620008,186.1929995
47.39299948,139.111,186.5039994
46.41600026,138.1359998,184.5520001
45.32699859,138.8400015,184.167
45.29500075,138.0670001,183.3620008
45.32999992,138.3540002,183.6840001
44.91900108,138.4459993,183.3650003
45.96100007,138.0649992,184.0259993
47.23399979,138.4429997,185.6769995
