Public Key gen UE(us),Shared Key gen UE(us),Total
14.53099867,90.10800022,104.6389989
12.58500015,41.67299994,54.25800009
10.06899947,38.48699998,48.55599946
9.377999959,37.88899994,47.2669999
9.886000043,39.39999988,49.28599992
9.602999853,38.50599933,48.10899918
9.200999557,36.89500045,46.09600001
8.979000995,36.53600106,45.51500206
8.695000361,35.82800127,44.52300163
8.256000001,35.61400081,43.87000081
8.435999916,36.31700019,44.75300011
8.917000741,35.90800043,44.82500117
9.139001122,36.46100049,45.60000161
8.637000064,37.27499825,45.91199831
9.023999155,36.90499943,45.92899859
8.985998647,36.84500007,45.83099872
9.507999494,39.18199945,48.68999895
9.336999938,36.60599941,45.94299935
9.976998626,38.24000123,48.21699986
9.23799962,36.90700032,46.14499994
7.438000466,30.56299829,38.00099876
9.432998922,33.34599933,42.77899825
7.447999451,29.10100011,36.54899956
16.62100112,31.52599857,48.14699969
6.648000635,28.88299969,35.53100032
6.369000403,28.00999937,34.37899977
6.44300053,27.83899981,34.28200034
6.450000001,27.97600064,34.42600064
6.406999091,28.05099939,34.45799848
6.557998859,27.78600174,34.3440006
6.165999366,27.71999971,33.88599907
6.317999578,27.34699956,33.66499914
6.027999916,27.40400123,33.43200115
6.02900036,27.66600119,33.69500155
6.164000297,27.70900028,33.87300058
6.14900091,28.00000038,34.14900129
6.239999493,38.58400123,44.82400072
7.970000297,34.85999878,42.82999907
7.652000932,35.28299931,42.93500024
7.786999049,35.61499943,43.40199848
8.152999726,35.96399984,44.11699956
9.325000065,37.5769996,46.90199967
9.44599924,36.11799912,45.56399836
7.869999536,35.82499994,43.69499948
7.953000022,44.35099981,52.30399984
8.879000234,36.83900104,45.71800127
13.59800081,39.32099935,52.91900015
8.015000276,35.27600165,43.29100193
7.63800017,38.96500129,46.60300146
8.009001249,35.18700032,43.19600157
7.794000339,34.81800013,42.61200047
7.918999472,34.92600081,42.84500028
7.873000868,35.4620006,43.33500146
7.929000276,34.91200005,42.84100032
7.769000149,35.35299948,43.12199962
7.619000826,35.002,42.62100083
7.516999176,35.4620006,42.97899977
8.134999007,35.44200081,43.57699981
7.557000572,34.56000013,42.1170007
7.45700163,34.83799992,42.29500155
7.661999916,34.76100028,42.4230002
7.615999493,36.15800051,43.77400001
8.236000212,34.83799992,43.07400013
9.149000107,35.46699918,44.61599929
8.537999747,36.18600022,44.72399996
8.281000191,37.29000127,45.57100146
7.793001714,36.37099871,44.16400043
7.877000826,36.10699969,43.98400051
7.97499888,35.32900155,43.30400043
7.635999282,36.58899914,44.22499842
13.09199979,35.00600178,48.09800157
7.848999303,37.42400077,45.27300007
7.650000043,37.88499998,45.53500003
8.18800072,36.03100049,44.21900121
12.46299871,35.5000011,47.96299982
7.500999345,36.00499986,43.5059992
8.566999895,36.43299897,44.99999886
7.636001101,34.83,42.4660011
7.839000318,35.30899994,43.14800026
7.927999832,35.25400098,43.18200081
7.78499998,35.17599907,42.96099905
7.418999303,34.52999954,41.94899884
7.554999684,34.61000051,42.1650002
7.537999409,34.74699952,42.28499893
7.614999049,34.57099956,42.18599861
7.925998943,34.91700045,42.84299939
7.691000064,34.95500096,42.64600102
7.542999811,34.61000051,42.15300032
7.533000826,35.12399962,42.65700045
7.906999599,35.06899884,42.97599844
7.720998838,35.06400026,42.7849991
7.691000064,34.95400051,42.64500058
7.464001101,34.9059992,42.3700003
7.499998901,35.04300003,42.54299893
7.556000128,34.89600022,42.45200034
7.620999895,35.24400017,42.86500007
7.640001058,34.91800089,42.55800195
7.877999451,34.83799992,42.71599937
7.765000191,34.68199975,42.44699994
7.91399907,34.79399857,42.70799764
8.090999472,34.88400034,42.97499981
7.503998859,35.02499931,42.52899816
7.594999261,34.85500019,42.44999946
7.530999937,34.82200009,42.35300003
7.639999239,34.8020003,42.44199954
7.558999641,34.81600106,42.3750007
7.750000805,36.33400047,44.08400127
8.56799852,35.05999848,43.627997
7.55200017,35.06899884,42.62099901
7.938999261,35.12600051,43.06499977
7.50000072,35.01600077,42.51600149
7.676000678,35.467001,43.14300168
7.763999747,34.94900011,42.71299986
7.742999514,35.3409996,43.08399912
7.741000445,34.90900053,42.65000098
7.736000043,34.66699854,42.40299859
7.606000509,34.84899935,42.45499986
7.598999218,34.83700129,42.43600051
7.704999007,35.24800013,42.95299914
7.762000678,35.45099935,43.21300003
8.024999261,35.66899977,43.69399903
7.878999895,35.95499948,43.83399937
7.934999303,35.00000093,42.93500024
7.635999282,35.04699998,42.68299926
7.721000657,34.64499969,42.36600034
12.01300074,35.12200055,47.1350013
7.935999747,35.75399933,43.68999907
8.112001524,35.21600047,43.32800199
7.925000318,34.99500053,42.92000085
7.755999832,41.10500049,48.86100032
7.954999091,35.44100036,43.39599946
7.802000255,34.56400009,42.36600034
7.681999705,34.59300024,42.27499994
7.788001312,35.55399962,43.34200094
7.761000234,34.74199912,42.50299935
7.61299998,35.60200093,43.21500091
7.587001164,34.74700134,42.3340025
7.677001122,34.77999962,42.45700075
7.704000382,35.00700041,42.71100079
7.583999832,35.33500058,42.91900041
7.507000191,35.24299973,42.74999992
7.64700053,34.61800043,42.26500096
7.833999916,34.72099888,42.5549988
7.455000741,35.19299935,42.64800009
7.843000276,34.57299863,42.41599891
7.644999641,34.78700091,42.43200055
8.149001587,34.72000026,42.86900185
7.651000487,35.19299935,42.84399984
7.60399962,34.69799958,42.3019992
7.73300053,34.76599886,42.49899939
7.843998901,38.35200005,46.19599895
8.121000064,35.6519995,43.77299956
7.615000868,34.85399975,42.46900062
8.422999599,34.78799954,43.21099914
